beg,end,approval,disapproval,no opinon
2014-09-08,2014-09-14,41,54,5
2014-09-01,2014-09-07,40,53,7
2014-08-25,2014-08-31,41,53,7
2014-08-18,2014-08-24,43,51,7
2014-08-11,2014-08-17,41,53,6
2014-08-04,2014-08-10,42,52,6
2014-07-28,2014-08-03,42,54,5
2014-07-21,2014-07-27,41,53,7
2014-07-14,2014-07-20,43,51,6
2014-07-07,2014-07-13,42,53,5
2014-06-30,2014-07-06,43,52,5
2014-06-23,2014-06-29,42,52,6
2014-06-16,2014-06-22,41,55,5
2014-06-09,2014-06-15,42,52,6
2014-06-02,2014-06-08,44,50,6
2014-05-26,2014-06-01,44,51,5
2014-05-19,2014-05-25,43,52,5
2014-05-12,2014-05-18,44,51,5
2014-05-05,2014-05-11,45,50,5
2014-04-28,2014-05-04,44,50,6
2014-04-21,2014-04-27,44,50,5
2014-04-14,2014-04-20,44,50,6
2014-04-07,2014-04-13,43,51,6
2014-03-31,2014-04-06,44,51,5
2014-03-24,2014-03-30,43,52,5
2014-03-17,2014-03-23,44,51,5
2014-03-10,2014-03-16,40,54,5
2014-03-03,2014-03-09,43,53,4
2014-02-24,2014-03-02,42,54,4
2014-02-17,2014-02-23,45,51,5
2014-02-10,2014-02-16,40,53,8
2014-02-03,2014-02-09,41,51,8
2014-01-27,2014-02-02,42,50,8
2014-01-20,2014-01-26,42,50,9
2014-01-13,2014-01-19,40,52,9
2014-01-06,2014-01-12,41,51,8
2014-01-01,2014-01-05,41,53,6
2013-12-23,2013-12-29,43,51,7
2013-12-16,2013-12-22,40,52,8
2013-12-09,2013-12-15,42,50,9
2013-12-02,2013-12-08,41,51,9
2013-11-25,2013-12-01,42,52,7
2013-11-18,2013-11-24,40,53,7
2013-11-11,2013-11-17,41,52,7
2013-11-04,2013-11-10,41,52,7
2013-10-28,2013-11-03,41,52,8
2013-10-21,2013-10-27,43,50,7
2013-10-14,2013-10-20,43,51,7
2013-10-07,2013-10-13,42,52,6
2013-09-30,2013-10-06,44,50,7
2013-09-23,2013-09-29,45,48,7
2013-09-16,2013-09-22,44,47,8
2013-09-09,2013-09-15,45,46,9
2013-09-02,2013-09-08,44,48,8
2013-08-26,2013-09-01,44,48,8
2013-08-19,2013-08-25,46,46,8
2013-08-12,2013-08-18,46,45,8
2013-08-05,2013-08-11,44,48,8
2013-07-29,2013-08-04,45,48,8
2013-07-22,2013-07-28,46,47,8
2013-07-15,2013-07-21,47,46,7
2013-07-08,2013-07-14,46,47,8
2013-07-01,2013-07-07,46,46,8
2013-06-24,2013-06-30,47,45,8
2013-06-17,2013-06-23,46,46,8
2013-06-10,2013-06-16,47,46,8
2013-06-03,2013-06-09,48,45,8
2013-05-27,2013-06-02,48,44,8
2013-05-20,2013-05-26,49,44,8
2013-05-13,2013-05-19,49,44,6
2013-05-06,2013-05-12,49,44,7
2013-04-29,2013-05-05,50,44,6
2013-04-22,2013-04-28,51,42,7
2013-04-15,2013-04-21,50,43,7
2013-04-08,2013-04-14,49,45,6
2013-04-01,2013-04-07,48,45,7
2013-03-25,2013-03-31,48,45,7
2013-03-18,2013-03-24,47,45,8
2013-03-11,2013-03-17,48,46,6
2013-03-04,2013-03-10,49,44,7
2013-02-25,2013-03-03,49,44,7
2013-02-18,2013-02-24,51,42,7
2013-02-11,2013-02-17,51,43,6
2013-02-04,2013-02-10,52,42,6
2013-01-28,2013-02-03,53,42,6
2013-01-21,2013-01-27,52,43,5
2013-01-14,2013-01-20,50,43,7
2013-01-07,2013-01-13,54,41,6
2013-01-01,2013-01-06,53,40,7
2012-12-24,2012-12-30,53,41,6
2012-12-17,2012-12-23,57,37,7
2012-12-10,2012-12-16,52,40,8
2012-12-03,2012-12-09,50,44,6
2012-11-26,2012-12-02,51,42,6
2012-11-19,2012-11-25,52,40,8
2012-11-12,2012-11-18,53,41,6
2012-11-05,2012-11-11,51,43,6
2012-10-29,2012-11-04,52,45,3
2012-10-22,2012-10-28,50,45,5
2012-10-15,2012-10-21,50,45,5
2012-10-08,2012-10-14,50,45,6
2012-10-01,2012-10-07,52,43,5
2012-09-24,2012-09-30,48,45,6
2012-09-17,2012-09-23,49,45,6
2012-09-10,2012-09-16,50,44,7
2012-09-03,2012-09-09,50,44,6
2012-08-27,2012-09-02,44,47,8
2012-08-20,2012-08-26,46,47,7
2012-08-13,2012-08-19,45,49,6
2012-08-06,2012-08-12,45,49,7
2012-07-30,2012-08-05,45,48,7
2012-07-23,2012-07-29,47,47,7
2012-07-16,2012-07-22,45,48,7
2012-07-09,2012-07-15,46,47,8
2012-07-02,2012-07-08,45,46,9
2012-06-25,2012-07-01,47,46,7
2012-06-18,2012-06-24,46,48,6
2012-06-11,2012-06-17,46,48,7
2012-06-04,2012-06-10,47,46,7
2012-05-28,2012-06-03,46,46,8
2012-05-21,2012-05-27,48,46,6
2012-05-14,2012-05-20,47,46,7
2012-05-07,2012-05-13,47,47,7
2012-04-30,2012-05-06,48,46,6
2012-04-23,2012-04-29,48,46,6
2012-04-16,2012-04-22,48,46,7
2012-04-09,2012-04-15,47,46,7
2012-04-02,2012-04-08,47,46,8
2012-03-26,2012-04-01,46,45,9
2012-03-19,2012-03-25,46,45,8
2012-03-12,2012-03-18,46,47,7
2012-03-05,2012-03-11,48,44,8
2012-02-27,2012-03-04,45,48,6
2012-02-20,2012-02-26,45,47,8
2012-02-13,2012-02-19,45,47,8
2012-02-06,2012-02-12,47,47,6
2012-01-30,2012-02-05,46,47,8
2012-01-23,2012-01-29,45,48,8
2012-01-16,2012-01-22,45,46,9
2012-01-09,2012-01-15,45,47,8
2012-01-02,2012-01-08,46,47,8
2011-12-26,2012-01-01,42,49,9
2011-12-19,2011-12-25,45,47,8
2011-12-12,2011-12-18,42,50,8
2011-12-05,2011-12-11,43,50,7
2011-11-28,2011-12-04,42,50,8
2011-11-21,2011-11-27,43,49,8
2011-11-14,2011-11-20,43,49,9
2011-11-07,2011-11-13,43,48,9
2011-10-31,2011-11-06,43,50,8
2011-10-24,2011-10-30,43,49,8
2011-10-17,2011-10-23,41,51,8
2011-10-10,2011-10-16,41,52,8
2011-10-03,2011-10-09,40,53,8
2011-09-26,2011-10-02,41,50,9
2011-09-19,2011-09-25,41,51,8
2011-09-12,2011-09-18,40,52,8
2011-09-05,2011-09-11,43,49,8
2011-08-29,2011-09-04,42,51,8
2011-08-22,2011-08-28,40,53,8
2011-08-15,2011-08-21,40,53,7
2011-08-08,2011-08-14,40,52,8
2011-08-01,2011-08-07,42,50,8
2011-07-25,2011-07-31,42,49,8
2011-07-18,2011-07-24,43,48,8
2011-07-11,2011-07-17,44,48,8
2011-07-04,2011-07-10,46,45,9
2011-06-27,2011-07-03,46,47,8
2011-06-20,2011-06-26,43,49,7
2011-06-13,2011-06-19,47,45,8
2011-06-06,2011-06-12,46,44,9
2011-05-30,2011-06-05,50,42,8
2011-05-23,2011-05-29,49,43,8
2011-05-16,2011-05-22,50,43,8
2011-05-09,2011-05-15,49,43,8
2011-05-02,2011-05-08,51,40,9
2011-04-25,2011-05-01,44,47,9
2011-04-18,2011-04-24,43,48,9
2011-04-11,2011-04-17,43,48,9
2011-04-04,2011-04-10,45,46,9
