,date,source,pos,proportion
294,2009-05-22,oba,CCONJ,0.07154587364713796
295,2009-05-22,oba,INTJ,0.0
296,2009-05-22,oba,NOUN,0.07132822856690607
297,2009-05-22,oba,ADP,0.07160523139629212
298,2009-05-22,oba,ADJ,0.0715854454799074
299,2009-05-22,oba,PROPN,0.07161512435448447
300,2009-05-22,oba,SCONJ,0.07097208207198116
301,2009-05-22,oba,PART,0.0709424031974041
302,2009-05-22,oba,SYM,0.0
303,2009-05-22,oba,ADV,0.07145683702340674
304,2009-05-22,nyt,PRON,0.07296277011195001
305,2009-05-22,nyt,NUM,0.06118198385837022
306,2009-05-22,nyt,DET,0.07218172350950273
307,2009-05-22,nyt,VERB,0.0728976828950794
308,2009-05-22,nyt,AUX,0.07309294454569122
309,2009-05-22,nyt,PUNCT,0.07328820619630305
310,2009-05-22,nyt,CCONJ,0.0727675084613382
311,2009-05-22,nyt,INTJ,0.0
312,2009-05-22,nyt,NOUN,0.07224681072637335
313,2009-05-22,nyt,ADP,0.07120541525644364
314,2009-05-22,nyt,ADJ,0.07315803176256183
315,2009-05-22,nyt,PROPN,0.07250715959385577
316,2009-05-22,nyt,SCONJ,0.06853683936474876
317,2009-05-22,nyt,PART,0.07205154907576151
318,2009-05-22,nyt,SYM,0.0
319,2009-05-22,nyt,ADV,0.07192137464202031
320,2009-05-22,wsj,PRON,0.07096774193548387
321,2009-05-22,wsj,NUM,0.062326131991713524
322,2009-05-22,wsj,DET,0.0712044983722995
323,2009-05-22,wsj,VERB,0.07114530926309559
324,2009-05-22,wsj,AUX,0.06717963894643386
325,2009-05-22,wsj,PUNCT,0.07150044391831903
326,2009-05-22,wsj,CCONJ,0.06860017756732761
327,2009-05-22,wsj,INTJ,0.0
328,2009-05-22,wsj,NOUN,0.07084936371707606
329,2009-05-22,wsj,ADP,0.07132287659070731
330,2009-05-22,wsj,ADJ,0.0712636874815034
331,2009-05-22,wsj,PROPN,0.07144125480911512
332,2009-05-22,wsj,SCONJ,0.06546315477952057
333,2009-05-22,wsj,PART,0.07108612015389168
334,2009-05-22,wsj,SYM,0.02959455460195324
335,2009-05-22,wsj,ADV,0.06605504587155964
336,2009-06-15,oba,PRON,0.07496331866079765
337,2009-06-15,oba,NUM,0.04068293984260371
338,2009-06-15,oba,DET,0.07456315859677204
339,2009-06-15,oba,VERB,0.0744297719087635
340,2009-06-15,oba,AUX,0.07416299853274644
341,2009-06-15,oba,PUNCT,0.07536347872482327
342,2009-06-15,oba,CCONJ,0.07362945178071229
343,2009-06-15,oba,INTJ,0.0
344,2009-06-15,oba,NOUN,0.07523009203681473
345,2009-06-15,oba,ADP,0.07482993197278912
346,2009-06-15,oba,ADJ,0.07509670534880619
347,2009-06-15,oba,PROPN,0.07256235827664399
348,2009-06-15,oba,SCONJ,0.0674936641323196
349,2009-06-15,oba,PART,0.07269574496465253
350,2009-06-15,oba,SYM,0.0
351,2009-06-15,oba,ADV,0.07429638522075496
352,2009-06-15,nyt,PRON,0.06739663016849158
353,2009-06-15,nyt,NUM,0.06609669516524173
354,2009-06-15,nyt,DET,0.06684665766711664
355,2009-06-15,nyt,VERB,0.06724663766811659
356,2009-06-15,nyt,AUX,0.06699665016749162
357,2009-06-15,nyt,PUNCT,0.06754662266886656
358,2009-06-15,nyt,CCONJ,0.06679666016699165
359,2009-06-15,nyt,INTJ,0.0
360,2009-06-15,nyt,NOUN,0.06694665266736663
361,2009-06-15,nyt,ADP,0.06649667516624169
362,2009-06-15,nyt,ADJ,0.0672966351682416
363,2009-06-15,nyt,PROPN,0.0663966801659917
364,2009-06-15,nyt,SCONJ,0.06734663266836659
365,2009-06-15,nyt,PART,0.0623968801559922
366,2009-06-15,nyt,SYM,0.06674666266686666
367,2009-06-15,nyt,ADV,0.06744662766861657
368,2009-06-15,wsj,PRON,0.0692920248801553
369,2009-06-15,wsj,NUM,0.06945049720692524
370,2009-06-15,wsj,DET,0.06869775365476803
371,2009-06-15,wsj,VERB,0.06972782377877264
372,2009-06-15,wsj,AUX,0.06933164296184778
373,2009-06-15,wsj,PUNCT,0.06984667802385008
374,2009-06-15,wsj,CCONJ,0.06960896953369518
375,2009-06-15,wsj,INTJ,0.0
376,2009-06-15,wsj,NOUN,0.06976744186046512
377,2009-06-15,wsj,ADP,0.06952973337031021
378,2009-06-15,wsj,ADJ,0.0690146983083079
379,2009-06-15,wsj,PROPN,0.06842042708292065
380,2009-06-15,wsj,SCONJ,0.06909393447169287
381,2009-06-15,wsj,PART,0.06968820569708015
382,2009-06-15,wsj,SYM,0.028723109227051225
383,2009-06-15,wsj,ADV,0.0698070599421576
384,2009-07-15,oba,PRON,0.06656971356060282
385,2009-07-15,oba,NUM,0.06224959721687554
386,2009-07-15,oba,DET,0.0666267447994639
387,2009-07-15,oba,VERB,0.06661248698974863
388,2009-07-15,oba,AUX,0.06621326831772104
389,2009-07-15,oba,PUNCT,0.06669803384804027
390,2009-07-15,oba,CCONJ,0.0661847526982905
391,2009-07-15,oba,INTJ,0.017907809002381054
392,2009-07-15,oba,NOUN,0.06638436203430428
393,2009-07-15,oba,ADP,0.06666951822860973
394,2009-07-15,oba,ADJ,0.06664100260917918
395,2009-07-15,oba,PROPN,0.066683776038325
396,2009-07-15,oba,SCONJ,0.06608494803028359
397,2009-07-15,oba,PART,0.06639861984401957
398,2009-07-15,oba,SYM,0.055591200079843736
399,2009-07-15,oba,ADV,0.06648416670231119
400,2009-07-15,nyt,PRON,0.06895702499692156
401,2009-07-15,nyt,NUM,0.0682181997290974
402,2009-07-15,nyt,DET,0.0706809506218446
403,2009-07-15,nyt,VERB,0.07203546361285557
404,2009-07-15,nyt,AUX,0.0657554488363502
405,2009-07-15,nyt,PUNCT,0.07215860115749292
406,2009-07-15,nyt,CCONJ,0.07117350080039404
407,2009-07-15,nyt,INTJ,0.0
408,2009-07-15,nyt,NOUN,0.07141977588966876
409,2009-07-15,nyt,ADP,0.07055781307720724
410,2009-07-15,nyt,ADJ,0.06784878709518533
411,2009-07-15,nyt,PROPN,0.0719123260682182
412,2009-07-15,nyt,SCONJ,0.06550917374707549
413,2009-07-15,nyt,PART,0.06193818495259205
414,2009-07-15,nyt,SYM,0.03768008865903214
415,2009-07-15,nyt,ADV,0.06415466075606452
416,2009-07-15,wsj,PRON,0.0579520697167756
417,2009-07-15,wsj,NUM,0.054901960784313725
418,2009-07-15,wsj,DET,0.08278867102396514
419,2009-07-15,wsj,VERB,0.08148148148148149
420,2009-07-15,wsj,AUX,0.07233115468409586
421,2009-07-15,wsj,PUNCT,0.08540305010893247
422,2009-07-15,wsj,CCONJ,0.08104575163398693
423,2009-07-15,wsj,INTJ,0.0
424,2009-07-15,wsj,NOUN,0.08496732026143791
425,2009-07-15,wsj,ADP,0.0840958605664488
426,2009-07-15,wsj,ADJ,0.08453159041394336
427,2009-07-15,wsj,PROPN,0.07581699346405228
428,2009-07-15,wsj,SCONJ,0.0
429,2009-07-15,wsj,PART,0.07712418300653595
430,2009-07-15,wsj,SYM,0.047058823529411764
431,2009-07-15,wsj,ADV,0.030501089324618737
432,2009-09-24,oba,PRON,0.06383287717142379
433,2009-09-24,oba,NUM,0.06325196894375244
434,2009-09-24,oba,DET,0.06367647880243535
435,2009-09-24,oba,VERB,0.06377702061107077
436,2009-09-24,oba,AUX,0.06302854270234039
437,2009-09-24,oba,PUNCT,0.06384404848349438
438,2009-09-24,oba,CCONJ,0.0634753951851645
439,2009-09-24,oba,INTJ,0.060660224543372616
