date,title,url
29 Dec 2009,NW Flight 253 Attempted Terrorist Attack Update,speeches/barackobama/barackobamadetroitterroristincident.htm
05 Jan 2010,National Security Review Press Conference,speeches/barackobama/barackobamasecurityreviewpressconference.htm
07 Jan 2010,Security Review Results and Aviation Security,speeches/barackobama/barackobamaaviationsecurity.htm
14 Jan 2010,Speech on Financial Crisis Responsibility Fee,speeches/barackobama/barackobamafinancialcrisisresponsiblityfee.htm
17 Jan 2010,Martin Luther King Remembrance Speech,speeches/barackobama/barackobamamlkremembrancespeech.htm
22 Jan 2010,Lorain County Town Hall Speech and Q&A,speeches/barackobama/barackobamaloraincountytownhallspeech.htm
27 Jan 2010,Auschwitz and Birkenau Remembrance Message,speeches/barackobama/barackobamaauschwitzbirkenauliberation65.htm
27 Jan 2010,First Presidential State of the Union Speech,
29 Jan 2010,GOP Issues Conference Forum Dialogue,speeches/barackobama/barackobamagophouseissuesconference.htm
01 Feb 2010,Press Conference on 2010 Budget Sent to Congress,speeches/barackobama/barackobama2010budgettocongress.htm
04 Feb 2010,Speech at the 58th National Prayer Breakfast,speeches/barackobama/barackobama2010prayerbreakfastspeech.htm
09 Feb 2010,Unannounced Briefing on Health Care and Jobs,speeches/barackobama/barackobamajobshealthcarebriefing.htm
19 Feb 2010,Town Hall at Green Valley High School,speeches/barackobama/barackobamahendersontownhall.htm
03 Mar 2010,Vote Push on Heath Care Reform Legislation,speeches/barackobama/barackobamaheathcarevotenow.htm
13 Mar 2010,Blueprint for Reforming No Child Left Behind Act,speeches/barackobama/barackobamanochildleftbehind.htm
19 Mar 2010,Health Care Speech at George Mason University,speeches/barackobama/barackobamahealthcaregeorgemason.htm
20 Mar 2010,Speech to House Democratic Caucus on Health Care,speeches/barackobama/barackobamahousedemocraticcongresshealthcare.htm
21 Mar 2010,Speech on House Passage of Health Care Reform Bill,speeches/barackobama/barackobamapassinghealthcarebill.htm
23 Mar 2010,Speech on Signing Health Care Reform Bill into Law,speeches/barackobama/barackobamahealthreformbillsigning.htm
28 Mar 2010,Speech to U.S. Military in Afghanistan,speeches/barackobama/barackobamatroopsafghanistan.htm
31 Mar 2010,Speech on Energy Security at Andrews Air Force Base,speeches/barackobama/barackobamaenergysecurityandrewsafb.htm
08 Apr 2010,START Treaty Joint Presser with Medvedev,speeches/barackobama/barackobamastarttreaty.htm
09 Apr 2010,On Justice Stevens and West Virginia Mining Tragedy,speeches/barackobama/barackobamawvminejusticestevens.htm
15 Apr 2010,NASA Space Exploration in the 21st Century Speech,speeches/barackobama/barackobamanasaboldcourse.htm
