date,title,url,beg,end,approval,disapproval,no opinon
2016-09-24,National African-American History Museum Dedication,Data/barackobamaafricanamericanhistorymuseum.txt,2016-09-19,2016-09-25,53.0,43.0,4.0
2016-09-30,Shimon Peres Memorial Service Address,Data/barackobamashimonperesmemorial.txt,2016-09-26,2016-10-02,53.0,44.0,4.0
2016-11-09,Remarks on the U.S. Presidential Election Outcome,Data/barackobama2016presidentialelectionoutcome.txt,2016-11-07,2016-11-13,57.0,41.0,3.0
2016-11-10,First Meeting with President-Elect Donald Trump,Data/barackobamadonaldtrumpmeeting.txt,2016-11-07,2016-11-13,57.0,41.0,3.0
2016-11-14,Post Presidential Election Press Conference,Data/barackobamapostelectionpresser.txt,2016-11-14,2016-11-20,56.0,41.0,3.0
2016-11-16,Address to the People of Greece,Data/barackobamagreecepeople.txt,2016-11-14,2016-11-20,56.0,41.0,3.0
2016-11-17,Joint Presser with Chancellor Angela Merkel,Data/barackobamaangelamerkelpresser2016.txt,2016-11-14,2016-11-20,56.0,41.0,3.0
2016-11-20,Press Conference in Peru,Data/barackobamaperupressconference.txt,2016-11-14,2016-11-20,56.0,41.0,3.0
2016-11-20,Young Leaders of the Americas Initiative Speech/Q&A,Data/barackobamaYLAI2016.txt,2016-11-14,2016-11-20,56.0,41.0,3.0
2016-12-04,Kennedy Center Honors Reception Address,Data/barackobamakennedycenter2016.txt,2016-11-28,2016-12-04,54.0,43.0,3.0
2016-12-04,Farewell Address to the U.S. Armed Forces,Data/barackobamafarwellarmedforces.txt,2016-11-28,2016-12-04,54.0,43.0,3.0
2016-12-06,On the Administration's Approach to Counterterrorism,Data/barackobamacounterterrorismapproach2016.txt,2016-12-05,2016-12-11,57.0,40.0,3.0
2016-12-16,Final Presidential Press Conference of Year,Data/barackobamafinalpresidentialpressconference.txt,2016-12-12,2016-12-18,56.0,40.0,4.0
2016-12-27,Address at Pearl Harbor,Data/barackobamapearlharbor.txt,2016-12-26,2017-01-01,55.0,40.0,4.0
2017-01-06,VOX Live Interview at the Blair House,Data/barackobamaVOXinterview.txt,2017-01-02,2017-01-08,55.0,42.0,3.0
2017-01-10,Presidential Farewell Address,Data/barackobamafarewelladdress.txt,2017-01-09,2017-01-15,57.0,39.0,4.0
2017-01-12,Joe Biden Medal of Freedom Presentation Address,Data/barackobamajoebidenmedaloffreedom.txt,2017-01-09,2017-01-15,57.0,39.0,4.0
2017-01-14,Final Presidential Weekly Address,Data/barackobamafinalweeklyaddress.txt,2017-01-09,2017-01-15,57.0,39.0,4.0
2017-01-16,MLB World Series Champion Chicago Cubs WH Visit,Data/barackobamachicagocubsMLBchamps.txt,2017-01-16,2017-01-19,59.0,37.0,4.0
2017-01-18,Final Presidential Press Conference,Data/barackobamafinalpressconference.txt,2017-01-16,2017-01-19,59.0,37.0,4.0
2017-01-20,Farewell Remarks at Andrews to Staff and Supporters,Data/barackobamafarewelltostaffandrewsaft.txt,2017-01-16,2017-01-19,59.0,37.0,4.0
