date,title,url,beg,end,approval,disapproval,no opinon
2010-11-06,U.S.-Indian Business Summit Address,Data/barackobamamumbaibusinesssummit.txt,2010-11-01,2010-11-07,45.0,47.0,8.0
2010-11-08,Indian Parliament Joint Session Speech,Data/barackobamaindianparliament.txt,2010-11-08,2010-11-14,44.0,48.0,8.0
2010-11-10,Indonesia University Speech,Data/barackobamaindonesiauniversity.txt,2010-11-08,2010-11-14,44.0,48.0,8.0
2010-11-16,Medal of Honor Award to Salvatore Giunta Speech,Data/barackobamagiuntamedalofhonor.txt,2010-11-15,2010-11-21,46.0,46.0,7.0
2010-12-03,Speech to Troops at Bagram Air Field,Data/barackobamabagramairfield.txt,2010-11-29,2010-12-05,46.0,46.0,9.0
2010-12-10,Presser on Tax Cuts with William Jefferson Clinton,Data/barackobamawjclintontaxcuts.txt,2010-12-06,2010-12-12,45.0,48.0,7.0
2011-01-12,Tucson Memorial Service Speech,Data/barackobamatucsonmemorial.txt,2011-01-10,2011-01-16,49.0,42.0,9.0
2011-02-01,On the Political Transition in Egypt,Data/barackobamaegyptpoliticaltransition.txt,2011-01-31,2011-02-06,47.0,45.0,8.0
2011-02-03,Speech at the 59th National Prayer Breakfast,Data/barackobama2011prayerbreakfast.txt,2011-01-31,2011-02-06,47.0,45.0,8.0
2011-02-07,Speech to the US Chamber of Commerce,Data/barackobamachamberofcommerce.txt,2011-02-07,2011-02-13,48.0,43.0,8.0
2011-02-10,National Wireless Initiative Address,Data/barackobamanationalwirelessinitiative.txt,2011-02-07,2011-02-13,48.0,43.0,8.0
2011-02-11,Address on the Historic Revolution in Egypt,Data/barackobamaegyptrevolution.txt,2011-02-07,2011-02-13,48.0,43.0,8.0
2011-02-23,Address on the Violence in Libya,Data/barackobamalibya.txt,2011-02-21,2011-02-27,48.0,44.0,8.0
2011-03-18,Statement on Libya,Data/barackobamalibyawarning.txt,2011-03-14,2011-03-20,48.0,44.0,9.0
2011-03-19,On Odyssey Dawn Limited Military Action in Libya,Data/barackobamalibyaltdmilitaryaction.txt,2011-03-14,2011-03-20,48.0,44.0,9.0
2011-03-20,Speech to the People of Rio de Janeiro,Data/barackobamariodejaneiro.txt,2011-03-14,2011-03-20,48.0,44.0,9.0
2011-03-21,Speech on Latin American to the People of Chile,Data/barackobamachilespeech.txt,2011-03-21,2011-03-27,45.0,47.0,8.0
2011-03-28,Speech to the American People on Libya,Data/barackobamalibyanationspeech.txt,2011-03-28,2011-04-03,48.0,44.0,8.0
2011-03-30,On American Energy Security at Georgetown Univ.,Data/barackobamaamericanenergysecurity.txt,2011-03-28,2011-04-03,48.0,44.0,8.0
2011-04-13,Speech on Improving Fiscal Policy,Data/barackobamafiscalpolicy2011.txt,2011-04-11,2011-04-17,43.0,48.0,9.0
2011-04-26,Announcement of 2012 Presidential Candidacy,Data/barackobama2012prescandidacy.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-04-27,Speech on Release of Official Certification of Birth,Data/barackobamabirthcertificatespeech.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-04-29,Remarks on the Tornado Devastation in Alabama,Data/barackobamaalabamatornado.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-04-29,Commencement Speech at Miami Dade College,Data/barackobamamiamidadecommencement.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-04-30,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2011.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-05-01,Speech Announcing the Death of Osama Bin Laden,Data/barackobamaosamabinladendeath.txt,2011-04-25,2011-05-01,44.0,47.0,9.0
2011-05-06,Speech to Troops at Fort Campbell,Data/barackobamafortcampbellkytroops.txt,2011-05-02,2011-05-08,51.0,40.0,9.0
2011-05-16,Commencement Speech at Booker T. Washington HS,Data/barackobamabookertwashington.txt,2011-05-16,2011-05-22,50.0,43.0,8.0
2011-05-19,On American Diplomacy in the Middle East,Data/barackobamamiddleeastpolicy.txt,2011-05-16,2011-05-22,50.0,43.0,8.0
2011-05-20,Speech to Intelligence Community at CIA Headquarters,Data/barackobamaciaheadquarters.txt,2011-05-16,2011-05-22,50.0,43.0,8.0
2011-05-20,Joint Press Conference with Benjamin Netanyahu,Data/barackobamabenjaminnetanyahujointpress.txt,2011-05-16,2011-05-22,50.0,43.0,8.0
2011-05-22,American-Israel Public Affairs Policy Conference,Data/barackobamaaipacpc2011.txt,2011-05-16,2011-05-22,50.0,43.0,8.0
2011-05-25,Speech to the British Parliament,Data/barackobamabritishparliament.txt,2011-05-23,2011-05-29,49.0,43.0,8.0
2011-05-29,Speech at the Memorial for Joplin Tornado Victims,Data/barackobamajoplinmemorial.txt,2011-05-23,2011-05-29,49.0,43.0,8.0
2011-05-30,Department of Defense Personnel Announcement,Data/barackobamadefensepersonnel.txt,2011-05-30,2011-06-05,50.0,42.0,8.0
2011-06-22,National Speech on Afghanistan War Troop Reduction,Data/barackobamaafghanistanwardrawdown.txt,2011-06-20,2011-06-26,43.0,49.0,7.0
2011-06-24,Speech at Carnegie Mellon's Robotics Center,Data/barackobamacarnegiemellonrobotics.txt,2011-06-20,2011-06-26,43.0,49.0,7.0
2011-06-29,Presser on Congressional Action to Promote Job Growth,Data/barackobamajobgrowthpresser.txt,2011-06-27,2011-07-03,46.0,47.0,8.0
2011-07-25,Speech to the Nation on the Budget and Debt Ceiling,Data/barackobamadeficitreductionplan.txt,2011-07-25,2011-07-31,42.0,49.0,8.0
2011-07-31,Statement on the Debt Compromise Agreement,Data/barackobamadebtapprovalstmt.txt,2011-07-25,2011-07-31,42.0,49.0,8.0
2011-08-02,Statement on the Approved Debt Compromise,Data/barackobamadebtcompromise.txt,2011-08-01,2011-08-07,42.0,50.0,8.0
2011-08-30,To the American Legion Conference in Minnesota,Data/barackobamaamericanlegion2011.txt,2011-08-29,2011-09-04,42.0,51.0,8.0
2011-09-08,Joint Session of Congress Speech on Economy and Jobs,Data/barackobamajointsessionjobs.txt,2011-09-05,2011-09-11,43.0,49.0,8.0
2011-09-19,Speech on Economic Growth and Deficit Reduction,Data/barackobamaeconomicplandebtreductionbill.txt,2011-09-19,2011-09-25,41.0,51.0,8.0
2011-09-20,Speech on High-Level UNGA Meeting on Libya,Data/barackobamaunlibya.txt,2011-09-19,2011-09-25,41.0,51.0,8.0
2011-09-21,United Nations 66th Session General Assembly Speech,Data/barackobamaunitednations66.txt,2011-09-19,2011-09-25,41.0,51.0,8.0
2011-10-16,Speech at the MLK Memorial Dedication,Data/barackobamamlkmemorialdedication.txt,2011-10-10,2011-10-16,41.0,52.0,8.0
2011-10-20,Speech on the Death of Muammar Qaddafi,Data/barackobamaqaddafideath.txt,2011-10-17,2011-10-23,41.0,51.0,8.0
2011-11-16,Speech to the Australian Parliament,Data/barackobamaaustralianparliament.txt,2011-11-14,2011-11-20,43.0,49.0,9.0
2011-12-02,Speech to the Tribal Nations Conference,Data/barackobamatribalnationsconference.txt,2011-11-28,2011-12-04,42.0,50.0,8.0
2011-12-06,Speech on the Economy at Osawatomie High School,Data/barackobamaosawatomieeconomy.txt,2011-12-05,2011-12-11,43.0,50.0,7.0
2011-12-17,Weekly Address Honoring Military Servicemembers,Data/barackobamaweeklyaddress17dec2011.txt,2011-12-12,2011-12-18,42.0,50.0,8.0
2012-01-05,Speech on Military Defense Strategic Review,Data/barackobamamilitarystrategychanges.txt,2012-01-02,2012-01-08,46.0,47.0,8.0
2012-02-01,Address on Housing at Falls Church,Data/barackobamahousingfallschurch.txt,2012-01-30,2012-02-05,46.0,47.0,8.0
2012-02-03,Address on Veterans Jobs Corps,Data/barackobamaveteransjobscorps.txt,2012-01-30,2012-02-05,46.0,47.0,8.0
2012-02-29,Iraq War Veterans and Families Gala Toast,Data/barackobamairaqwarveterangala.txt,2012-02-27,2012-03-04,45.0,48.0,6.0
2012-03-04,To the American-Israel Public Affairs Committee,Data/barackobamaaipac2012.txt,2012-02-27,2012-03-04,45.0,48.0,6.0
2012-03-26,Hankuk University Address,Data/barackobamahankukuniversity.txt,2012-03-26,2012-04-01,46.0,45.0,9.0
2012-03-29,Speech on Repealing Oil and Gas Subsidies,Data/barackobamagasoilsubsidies.txt,2012-03-26,2012-04-01,46.0,45.0,9.0
2012-04-03,Speech at an Associated Press Luncheon,Data/barackobamaapluncheon.txt,2012-04-02,2012-04-08,47.0,46.0,8.0
2012-04-23,U.S. Holocaust Memorial Museum Address,Data/barackobamanationalholocaustmemorialmuseum.txt,2012-04-23,2012-04-29,48.0,46.0,6.0
2012-04-28,White House Correspondents Dinner Speech,Data/barackobamawhitehousecorrespondentsdinner2012.txt,2012-04-23,2012-04-29,48.0,46.0,6.0
2012-05-14,Barnard College Commencement Speech,Data/barackobamabarnardcollegecommencement.txt,2012-05-14,2012-05-20,47.0,46.0,7.0
2012-06-13,Shimon Peres Presidential Medal of Freedom Award,Data/barackobamashimonperesemedaloffreedom.txt,2012-06-11,2012-06-17,46.0,48.0,7.0
2012-06-28,On the US Supreme Court Affordable Care Act Ruling,Data/barackobamausschealthcareruling.txt,2012-06-25,2012-07-01,47.0,46.0,7.0
2012-07-20,Remarks on the Tragedy in Aurora Colorado,Data/barackobamaauroratragedy.txt,2012-07-16,2012-07-22,45.0,48.0,7.0
2012-07-23,Speech to the 113th VFW Convention,Data/barackobama113vfw.txt,2012-07-23,2012-07-29,47.0,47.0,7.0
2012-09-12,Rose Garden Address on Benghazi Attacks,Data/barackobamabenghaziattacks.txt,2012-09-10,2012-09-16,50.0,44.0,7.0
2012-09-14,Benghazi Victims Transfer of Remains Speech,Data/barackobamabenghazivictims.txt,2012-09-10,2012-09-16,50.0,44.0,7.0
2012-09-25,Clinton Global Initiative Speech on Human Trafficking,Data/barackobamaclintonglobalinitiative2012.txt,2012-09-24,2012-09-30,48.0,45.0,6.0
