date,title,url
2010-04-22,Cooper Union Speech on Wall Street Financial Reform,./Data/barackobamareformingwallstreet.txt
2010-04-25,Eulogy for Upper Big Branch Miners,./Data/barackobamaeulogycoalminers.txt
2010-04-29,Eulogy for Dorothy Height,./Data/barackobamadorothyheight.txt
2010-05-01,Commencement Speech at Michigan University,./Data/barackobamauniversityofmichigancommencement.txt
2010-05-01,White House Correspondents Dinner Speech,./Data/barackobamawhitehousecorrespondentsdinner2010.txt
2010-05-10,Speech Nominating Elena Kagan for USSC Justice,./Data/barackobamaelenakagannomination.txt
2010-05-22,U.S. Military Academy Commencement Address,./Data/barackobamawestpointcommencement.txt
2010-05-27,Press Conference on Gulf Oil Spill Disaster,./Data/barackobamagulfoilspillpresser.txt
2010-05-28,Grande Isle Briefing on Gulf Oil Spill Disaster,./Data/barackobamagrandeisleoilspillbriefing.txt
2010-06-02,Speech on the Economy at Carnegie Mellon,./Data/barackobamacarnegiemellon.txt
2010-06-07,Kalamazoo Central H.S. Commencement Speech,./Data/barackobamakalamazoocommencement.txt
2010-06-09,Speech on UN Security Council Sanctions Against Iran,./Data/barackobamairansanctions.txt
2010-06-15,Speech to Military Personnel in Pensacola,./Data/barackobamapensacolamilitary.txt
2010-06-15,Oval Office Speech on BP Oil Spill Disaster,./Data/barackobamabpoilspillovaloffice.txt
2010-06-16,Speech to the American Nurses Association,./Data/barackobamanursesassociation.txt
2010-06-21,Father's Day Speech,./Data/barackobamafathersday2010.txt
2010-06-23,On the Removal of Gen. McChrystal in Afghanistan,./Data/barackobamamccrystalremovedafghanistan.txt
2010-07-01,Comprehensive Immigration Reform Speech,./Data/barackobamacomprehensiveimmigrationreform.txt
2010-07-02,Eulogy for Robert Byrd,./Data/barackobamarobertbyrdeulogy.txt
2010-07-21,Dodd-Frank Consumer Protection Act Speech,./Data/barackobamawallstreetreformactsigning.txt
2010-07-29,Urban League Centennial Address on Education,./Data/barackobamaurbanleaguecentennial.txt
